tid,algo,outlier_rate,missing_rate,seed,duration,fisher_dist,frobenius_rel,err_mu,n_iter,converged
121,MICE + SCM_robust,0.05,0.0,121,0.02460026741027832,3.303257981812555,0.5688086525533975,0.3292114894441504,,True
122,MICE + SCM_robust,0.05,0.0,122,0.024737119674682617,3.0418966549468642,0.5411729501397827,0.3236030017102088,,True
123,MICE + SCM_robust,0.05,0.0,123,0.02351546287536621,3.264223379941869,0.5662067300964843,0.3998735280153321,,True
124,MICE + SCM_robust,0.05,0.0,124,0.022787809371948242,3.551991052819675,0.5665501319163817,0.3982739237320438,,True
125,MICE + SCM_robust,0.05,0.0,125,0.023845672607421875,3.0512940817126877,0.552392137739828,0.40895910883862113,,True
126,MICE + SCM_robust,0.05,0.0,126,0.01556539535522461,2.8979127589452345,0.5205561127331063,0.3228224631933264,,True
127,MICE + SCM_robust,0.05,0.0,127,0.016116857528686523,3.2514959397295455,0.5716391095020974,0.47290049363973646,,True
128,MICE + SCM_robust,0.05,0.0,128,0.02396702766418457,3.2857970460674135,0.5728857155074368,0.26391413985709156,,True
129,MICE + SCM_robust,0.05,0.0,129,0.02405238151550293,3.6019040311364443,0.6005398698631026,0.22819503733490404,,True
130,MICE + SCM_robust,0.05,0.0,130,0.015504837036132812,3.045701079663172,0.5455712967894665,0.27945146107495195,,True
131,MICE + SCM_robust,0.05,0.0,131,0.01569342613220215,3.4740210524504755,0.5763265178078182,0.35879362371143597,,True
132,MICE + SCM_robust,0.05,0.0,132,0.015332937240600586,3.699055694595988,0.6088757388470134,0.2129731215886579,,True
133,MICE + SCM_robust,0.05,0.0,133,0.015671253204345703,3.3210653589727914,0.5879505161757838,0.3794592537825435,,True
134,MICE + SCM_robust,0.05,0.0,134,0.016332387924194336,3.1168732114626634,0.5516967400510955,0.39069836146999515,,True
135,MICE + SCM_robust,0.05,0.0,135,0.016486167907714844,3.4366504985847914,0.5664599899057846,0.380869876310772,,True
136,MICE + SCM_robust,0.05,0.0,136,0.02427506446838379,2.9779194890849934,0.534596523565676,0.4192122508407732,,True
137,MICE + SCM_robust,0.05,0.0,137,0.023972749710083008,3.496537498462697,0.5813326543068259,0.2936089298657749,,True
138,MICE + SCM_robust,0.05,0.0,138,0.026009798049926758,3.3629872036935167,0.5744182950574688,0.4290688778218076,,True
